commons(), METHOD, 562, 98, 2.3.2 Logging, null, @null
jcl(), METHOD, 569, 29, 2.3.2 Logging, null, @null
logback, UNIDENTIFIED-TYPE, 569, 77, 2.3.2 Logging, null, @null
commons(), METHOD, 579, 57, 2.3.2 Logging, null, @null
log4j.properties(), UNIDENTIFIED-TYPE, 581, 1, 2.3.2 Logging, org.springframework.test.context.TestPropertySource.properties(), @null
log4j.xml(), UNIDENTIFIED-TYPE, 581, 50, 2.3.2 Logging, org.springframework.test.web.client.match.ContentRequestMatchers.xml(), @null
commons(), METHOD, 607, 11, 2.3.2 Logging, null, @null
commons(), METHOD, 609, 6, 2.3.2 Logging, null, @null
commons(), METHOD, 609, 87, 2.3.2 Logging, null, @null
commons(), METHOD, 610, 48, 2.3.2 Logging, null, @null
java.time(), UNIDENTIFIED-TYPE, 665, 28, 3.3 Java 8 (as well as 6 and 7), org.springframework.aop.support.ControlFlowPointcut.isRuntime(), @null
GroovyBeanDefinitionReader, CLASS/INTERFACE, 718, 37, 3.5 Groovy Bean Definition DSL, org.springframework.beans.factory.groovy.GroovyBeanDefinitionReader, @null
Repository, CLASS/INTERFACE, 726, 1, 3.6 Core Container Improvements, org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessorTests.Repository, @null
Ordered, CLASS/INTERFACE, 733, 83, 3.6 Core Container Improvements, org.springframework.core.Ordered, @null
LocaleContext, CLASS/INTERFACE, 751, 70, 3.6 Core Container Improvements, org.springframework.context.i18n.LocaleContext, @null
AsyncRestTemplate, CLASS/INTERFACE, 766, 5, 3.7 General Web Improvements, org.springframework.web.client.AsyncRestTemplate, @null
spring(), METHOD, 774, 10, 3.8 WebSocket, null, @null
spring(), METHOD, 779, 10, 3.8 WebSocket, null, @null
spring(), METHOD, 783, 70, 3.8 WebSocket, null, @null
Message, CLASS/INTERFACE, 786, 1, 3.8 WebSocket, org.springframework.messaging.support.ErrorMessage, @null
MessageChannel, CLASS/INTERFACE, 786, 39, 3.8 WebSocket, org.springframework.messaging.support.AbstractMessageChannel, @null
MessageHandler, CLASS/INTERFACE, 786, 84, 3.8 WebSocket, org.springframework.messaging.simp.annotation.support.SimpAnnotationMethodMessageHandlerTests.TestSimpAnnotationMethodMessageHandler, @null
spring(), METHOD, 791, 57, 3.9 Testing Improvements, null, @null
spring(), METHOD, 794, 31, 3.9 Testing Improvements, null, @null
ActiveProfilesResolver, CLASS/INTERFACE, 800, 110, 3.9 Testing Improvements, org.springframework.test.context.junit4.profile.resolver.ClassNameActiveProfilesResolver, @null
resolver, UNIDENTIFIED-TYPE, 801, 28, 3.9 Testing Improvements, null, @null
SocketUtils, CLASS/INTERFACE, 803, 7, 3.9 Testing Improvements, org.springframework.util.SocketUtils, @null
spring(), METHOD, 803, 81, 3.9 Testing Improvements, null, @null
org.springframework.mock.web, PACKAGE, 809, 43, 3.9 Testing Improvements, null, @null
MockHttpServletRequest, CLASS/INTERFACE, 811, 8, 3.9 Testing Improvements, org.springframework.mock.web.test.MockHttpServletRequest, @null
MockServletContext, CLASS/INTERFACE, 811, 61, 3.9 Testing Improvements, org.springframework.mock.web.test.MockServletContext, @null
JmsListenerContainerFactory, CLASS/INTERFACE, 824, 1, 4.1 JMS Improvements, org.springframework.jms.config.JmsListenerContainerFactory, @null
JmsListenerConfigurer, CLASS/INTERFACE, 826, 171, 4.1 JMS Improvements, org.springframework.jms.annotation.JmsListenerConfigurer, @null
spring(), METHOD, 827, 76, 4.1 JMS Improvements, null, @null
Message, CLASS/INTERFACE, 832, 36, 4.1 JMS Improvements, org.springframework.messaging.Message, @null
javax.jms.Message, PACKAGE, 832, 84, 4.1 JMS Improvements, org.springframework.messaging.Message, @null
JmsMessageOperations, CLASS/INTERFACE, 835, 170, 4.1 JMS Improvements, org.springframework.jms.core.JmsMessageOperations, @null
JmsTemplate, CLASS/INTERFACE, 836, 36, 4.1 JMS Improvements, org.springframework.jms.core.JmsTemplate, @null
Message, CLASS/INTERFACE, 836, 103, 4.1 JMS Improvements, org.springframework.messaging.Message, @null
JmsTemplate, CLASS/INTERFACE, 841, 49, 4.1 JMS Improvements, org.springframework.jms.core.JmsTemplate, @null
BackOff, CLASS/INTERFACE, 846, 155, 4.1 JMS Improvements, org.springframework.util.backoff.BackOff, @null
CacheResolver, CLASS/INTERFACE, 858, 100, 4.2 Caching Improvements, org.springframework.cache.interceptor.CacheResolver, @null
value, UNIDENTIFIED-TYPE, 859, 1, 4.2 Caching Improvements, null, @null
